,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,11,car,because
11,12,mettre,to put
12,14,laisse,leash
13,15,eux,them
14,16,ville,city
15,17,parlé,speak
16,18,arrivé,come
17,19,bébé,baby
18,20,longtemps,long time
19,21,heures,hours
20,22,vont,will
21,23,pendant,while
22,24,revoir,meet again
23,25,aucune,any
24,26,place,square
25,27,parle,speak
26,28,compris,understood
27,30,étaient,were
28,31,attention,Warning
29,32,voici,here is
30,33,pourrais,could
31,34,affaire,case
32,35,donner,give
33,37,leurs,their
34,38,donné,given
35,39,train,train
36,40,corps,body
37,41,yeux,eyes
38,42,façon,way
39,43,écoute,listen
40,44,dont,whose
41,45,perdu,lost
42,46,première,first
43,48,pouvoir,power
44,49,vieux,old
45,50,tiens,here
46,51,matin,morning
47,52,tellement,so much
48,53,enfant,child
49,54,point,point
50,55,suite,after
51,56,pardon,sorry
52,57,venez,come
53,58,devant,in front of
54,59,vers,towards
55,60,minutes,minutes
56,61,demandé,request
57,63,mis,placed
58,64,droit,law
59,65,aimerais,would like to
60,66,aujourd'hui,today
61,67,mari,husband
62,68,cause,cause
63,69,enfin,finally
64,70,espère,hope
65,71,attendez,Wait
66,72,parti,left
67,73,nouvelle,new
68,74,boulot,job
69,75,dirait,would say
70,77,compte,account
71,78,donne,given
72,79,fin,end
73,80,gros,large
74,81,aura,will have
75,82,filles,girls
76,83,jouer,to play
77,84,bureau,office
